D_id,G_id,paper
MESH:D003398,58499,3
MESH:D003398,10728,3
MESH:D003398,1432,3
MESH:D003398,11197,3
MESH:D003398,117581,3
MESH:D003398,960,3
MESH:D003398,5950,3
MESH:D003398,727,3
MESH:D003398,730,3
MESH:D003398,718,3
MESH:D003398,729,3
MESH:D003398,9332,3
MESH:D003398,55777,3
MESH:D003398,54499,3
MESH:D003398,23545,3
MESH:D003398,720,3
MESH:D003398,4684,3
MESH:D003398,2335,3
MESH:D003398,112752,3
MESH:D003398,3897,3
MESH:D003398,222894,3
MESH:D003398,152330,3
MESH:D003398,1482,3
MESH:D003398,2178,3
MESH:D003398,1588,3
MESH:D003398,4204,3
MESH:D003398,5205,1
MESH:D003398,26123,1
MESH:D003398,4853,1
MESH:D003398,29123,1
MESH:D003398,58,1
MESH:D003398,7111,1
MESH:D003398,8831,1
MESH:D003398,7549,1
MESH:D003398,5122,1
MESH:D003398,10535,1
MESH:D003398,1028,1
MESH:D003398,8301,1
MESH:D003398,80321,1
MESH:D003398,7403,1
MESH:D003398,23135,1
MESH:D003398,7546,1
MESH:D003398,64840,1
MESH:D003398,2908,1
MESH:D003398,57498,1
MESH:D003398,23152,1
MESH:D003398,5609,1
MESH:D003398,1545,1
MESH:D003398,6999,1
MESH:D003398,55799,1
MESH:D003398,112802,1
MESH:D003398,253827,1
MESH:D003398,4689,1
MESH:D003398,162083,1
MESH:D003398,157570,1
MESH:D003398,857,1
MESH:D003398,4057,1
MESH:D003398,285782,1
MESH:D003398,1960,1
MESH:D003398,5734,1
MESH:D003398,5732,1
MESH:D003398,83756,1
MESH:D003398,6236,1
MESH:D003398,5742,1
MESH:D003398,4140,1
MESH:D003398,64129,1
MESH:D003398,2201,1
MESH:D003398,10643,1
MESH:D003398,100187907,1
MESH:D003398,9235,1
MESH:D003398,11156,1
MESH:D003398,4915,1
MESH:D003398,2865,1
MESH:D003398,391104,1
MESH:D003398,5746,1
MESH:D003398,27180,1
MESH:D003398,6363,1
MESH:D003398,10850,1
MESH:D003398,2523,1
MESH:D003398,55120,1
MESH:D003398,4153,1
MESH:D003398,643,1
MESH:D003398,56477,1
MESH:D003398,6370,1
MESH:D003398,57007,1
MESH:D003398,6424,1
MESH:D003398,7412,1
MESH:D003398,22915,1
MESH:D003398,5864,1
MESH:D003398,5878,1
MESH:D003398,4969,1
MESH:D003398,5067,1
MESH:D003398,947,1
MESH:D003398,9825,1
MESH:D003398,567,1
MESH:D003398,7528,1
MESH:D003398,64132,1
MESH:D003398,1056,1
MESH:D003398,5800,1
MESH:D003398,1629,1
MESH:D003398,3852,1
MESH:D003398,7431,1
MESH:D003398,10716,1
MESH:D003398,6834,1
MESH:D003398,9560,1
MESH:D003398,83696,1
MESH:D003398,354,1
MESH:D003398,23063,1
MESH:D003398,1470,1
MESH:D003398,6329,1
MESH:D003398,23233,1
MESH:D003398,6622,1
MESH:D003398,154,1
MESH:D003398,3645,1
MESH:D003398,5631,1
MESH:D003398,431707,1
MESH:D003398,256435,1
MESH:D003398,10544,1
MESH:D003398,23495,1
MESH:D003398,4239,1
MESH:D003398,5069,1
MESH:D003398,26291,1
MESH:D003398,29957,1
MESH:D003398,2305,1
MESH:D003398,540,1
MESH:D003398,2592,1
MESH:D003398,2817,1
MESH:D003398,563,1
MESH:D003398,4212,1
MESH:D003398,2290,1
MESH:D003398,10637,1
MESH:D003398,7044,1
